SysCurrentTime	Текущее время
SysServerStartTimestamp	Время запуска сервера Simple-Scada
SysProjectStartTimestamp	Время запуска проекта
SysProjectEditTimestamp	Время последнего редактирования проекта
SysProjectVersionAsInt	Номер версии Simple-Scada (в которой был создан проект) в виде целого числа. Например, если проект был создан в версии 2.6.12.3, то возвращаемое значение будет равно 2612003 (последнее число в версии представлено тремя знаками, а предпоследнее - двумя).
SysProjectVersionAsStr	Номер версии Simple-Scada (в которой был создан проект) в виде строки. Например: 2.6.12.3
SysLicenseType	Код версии Simple-Scada. 0 - демо с ограничением на 64 тега; 1 - демо с ограничением по времени; 2 - minimal; 3 - standard; 4 - professional
SysClientsCount	Количество клиентов, которые сейчас подключены к серверу.
SysTagLimit	Ограничение по количеству тегов. -1, если количество тегов не ограничено.
SysKeyID	Уникальный идентификатор HASP-USB ключа.
SysDatabaseState	Состояние БД. 1 если БД подключена и 0 в ином случае
SysDatabaseName	Имя БД в которую сейчас выполняется архивация
SysDatabaseType	0 если в качестве СУБД используется MySQL, 1 если используется Microsoft SQL Server, 2 для PostgreSQL.
SysIsMaster	True если проект запущен на основном сервере, False в ином случае
SysMasterState	True если основной сервер запущен и готов к подключению клиентов, False в ином случае
SysSlaveState	True если резервный сервер запущен и готов к подключению клиентов, False в ином случае
SysDayName	Название дня недели, например: Вторник
SysDayNameShort	Сокращённое название дня недели, например: ВТ
SysRamCurrentUsage	Текущий объем оперативной памяти, используемый основным процессом SCADA-сервера (Кб)
SysRamMaxUsage	Максимальный объем оперативной памяти, использованный основным процессом SCADA-сервера (Кб)
mi0DI1	СилКорпус
StatusN1	
StatusN2	
StatusN3	
StatusN4	
StatusN5	
StatusN6	
StatusN7	
StatusN8	
StatusN9	
StatusN10	
StatusStartN1	
StatusStartN2	
StatusStartN3	
StatusStartN4	
StatusStartN5	
StatusStartN6	
StatusStartN7	
StatusStartN8	
StatusStartN9	
StatusStartN10	
AlarmStatusN1	Состояние аварии нории
AlarmStatusN2	Состояние аварии нории
AlarmStatusN3	Состояние аварии нории
AlarmStatusN4	Состояние аварии нории
AlarmStatusN5	Состояние аварии нории
AlarmStatusN6	Состояние аварии нории
AlarmStatusN7	Состояние аварии нории
AlarmStatusN8	Состояние аварии нории
AlarmStatusN9	Состояние аварии нории
AlarmStatusN10	Состояние аварии нории
StatusC1	
StatusC2	
StatusC3	
StatusC4	
StatusC5	
StatusC6	
StatusC7	
StatusC8	
StatusC9	
StatusC10	
StatusC11	
StatusC12	
StatusC13	
StatusC14	
StatusStartC1	
StatusStartC2	
StatusStartC3	
StatusStartC4	
StatusStartC5	
StatusStartC6	
StatusStartC7	
StatusStartC8	
StatusStartC9	
StatusStartC10	
StatusStartC11	
StatusStartC12	
StatusStartC13	
StatusStartC14	Транспортеры
StatusT1	
StatusT2	
StatusT3	
StatusT4	
StatusT5	
StatusT6	
StatusT7	
StatusT8	
StatusT9	
StatusT10	
StatusT11	
StatusT12	
StatusT13	
StatusT14	
StatusT15	
StatusT16	
StatusT17	
StatusT18	
StatusT19	
StatusT20	
StatusStartForwardT1	
StatusStartForwardT2	
StatusStartForwardT3	
StatusStartForwardT4	
StatusStartForwardT5	
StatusStartForwardT6	
StatusStartForwardT7	
StatusStartForwardT8	
StatusStartForwardT9	
StatusStartForwardT10	
StatusStartForwardT11	
StatusStartForwardT12	
StatusStartForwardT13	
StatusStartForwardT14	
StatusStartForwardT15	
StatusStartForwardT16	
StatusStartForwardT17	
StatusStartForwardT18	
StatusStartForwardT19	
StatusStartForwardT20	
AlarmStatusT1	Состояние аварии транспортера
AlarmStatusT2	Состояние аварии транспортера
AlarmStatusT3	Состояние аварии транспортера
