name	type	group	opc_item	writes	reads	description
Alarm16Level	Boolean	СилКорпус / Выходные переменные / Служебные	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mo1DO32	Alarm,AlarmTest_OnClick,ManualStart	AlarmTest_OnClick	Выходное реле запуска звукового оповещения 16 этажа
Alarm1Level	Integer	СилКорпус / Выходные переменные / Служебные	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mo1DO32	Alarm,AlarmTest_OnClick,ManualStart	AlarmTest_OnClick	Выходное реле запуска звукового оповещения первого этажа
AlarmStartTimer	Integer	СилКорпус / Таймеры / Служебные таймеры		Alarm	Alarm	Таймер контроля аварийного звукового оповещения
AlarmStatus	Boolean	СилКорпус / Служебные переменные		Alarm,MnemoControlN	Alarm	Статус запуска аварийного звукового оповещения
AlarmStatusN1	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN10	Boolean	СилКорпус / Статусы механизмов / Нории				Состояние аварии нории
AlarmStatusN2	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN3	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN4	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN5	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN6	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN7	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN8	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusN9	Boolean	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick		Состояние аварии нории
AlarmStatusT1	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT10	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT11	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT12	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT13	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT14	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT15	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT16	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT17	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT18	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT19	Boolean	СилКорпус / Статусы механизмов / Транспортеры				Состояние аварии транспортера
AlarmStatusT2	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT20	Boolean	СилКорпус / Статусы механизмов / Транспортеры				Состояние аварии транспортера
AlarmStatusT3	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT4	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT5	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT6	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT7	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT8	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmStatusT9	Boolean	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick		Состояние аварии транспортера
AlarmTimeN1	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN10	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий				Таймер аварии нории
AlarmTimeN2	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN3	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN4	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN5	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN6	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN7	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN8	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeN9	Integer	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Таймер аварии нории
AlarmTimeT1	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT10	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT11	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT12	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT13	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT14	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT15	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT16	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT17	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT18	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT19	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT2	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT20	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT3	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT4	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT5	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT6	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT7	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT8	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
